Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,2,154,7,Some Random Commen with Id 0
1,0,2,196,9,Some Random Commen with Id 1
2,0,2,141,8,Some Random Commen with Id 2
3,0,2,89,8,Some Random Commen with Id 3
4,0,2,108,8,Some Random Commen with Id 4
5,0,2,42,1,Some Random Commen with Id 5
6,1,2,17,2,Some Random Commen with Id 6
7,1,2,101,0,Some Random Commen with Id 7
8,1,2,21,0,Some Random Commen with Id 8
9,1,2,112,7,Some Random Commen with Id 9
10,1,2,186,6,Some Random Commen with Id 10
11,1,2,95,1,Some Random Commen with Id 11
12,1,2,143,5,Some Random Commen with Id 12
13,1,2,77,7,Some Random Commen with Id 13
14,1,2,33,5,Some Random Commen with Id 14
15,2,4,69,5,Some Random Commen with Id 15
16,2,4,160,6,Some Random Commen with Id 16
17,2,4,99,8,Some Random Commen with Id 17
18,2,4,109,7,Some Random Commen with Id 18
19,3,0,35,1,Some Random Commen with Id 19
20,3,0,136,2,Some Random Commen with Id 20
21,3,0,138,8,Some Random Commen with Id 21
22,3,0,122,3,Some Random Commen with Id 22
23,4,7,8,7,Some Random Commen with Id 23
24,4,7,141,1,Some Random Commen with Id 24
25,4,7,83,3,Some Random Commen with Id 25
26,4,7,98,9,Some Random Commen with Id 26
27,4,7,144,3,Some Random Commen with Id 27
28,4,7,189,5,Some Random Commen with Id 28
29,5,5,67,5,Some Random Commen with Id 29
30,5,5,14,7,Some Random Commen with Id 30
31,5,5,121,5,Some Random Commen with Id 31
32,5,5,131,2,Some Random Commen with Id 32
33,5,5,156,4,Some Random Commen with Id 33
34,6,8,164,3,Some Random Commen with Id 34
35,6,8,33,1,Some Random Commen with Id 35
36,6,8,191,8,Some Random Commen with Id 36
37,6,8,65,4,Some Random Commen with Id 37
38,8,2,130,8,Some Random Commen with Id 38
39,8,2,44,1,Some Random Commen with Id 39
40,8,2,128,9,Some Random Commen with Id 40
41,8,2,149,6,Some Random Commen with Id 41
42,10,6,199,8,Some Random Commen with Id 42
43,10,6,62,4,Some Random Commen with Id 43
44,10,6,35,4,Some Random Commen with Id 44
45,10,6,135,3,Some Random Commen with Id 45
46,10,6,16,5,Some Random Commen with Id 46
47,10,6,86,2,Some Random Commen with Id 47
48,11,5,113,0,Some Random Commen with Id 48
49,11,5,40,4,Some Random Commen with Id 49
50,11,5,105,8,Some Random Commen with Id 50
51,12,0,15,5,Some Random Commen with Id 51
52,12,0,94,9,Some Random Commen with Id 52
53,13,3,97,4,Some Random Commen with Id 53
54,13,3,55,5,Some Random Commen with Id 54
55,13,3,0,9,Some Random Commen with Id 55
56,13,3,170,2,Some Random Commen with Id 56
57,13,3,50,8,Some Random Commen with Id 57
58,13,3,176,8,Some Random Commen with Id 58
59,13,3,65,5,Some Random Commen with Id 59
60,13,3,71,7,Some Random Commen with Id 60
61,14,1,124,9,Some Random Commen with Id 61
62,14,1,61,0,Some Random Commen with Id 62
63,15,8,49,8,Some Random Commen with Id 63
64,15,8,175,5,Some Random Commen with Id 64
65,15,8,43,7,Some Random Commen with Id 65
66,15,8,30,8,Some Random Commen with Id 66
67,15,8,75,7,Some Random Commen with Id 67
68,15,8,5,3,Some Random Commen with Id 68
69,15,8,18,9,Some Random Commen with Id 69
70,16,2,198,4,Some Random Commen with Id 70
71,18,9,133,3,Some Random Commen with Id 71
72,18,9,19,9,Some Random Commen with Id 72
73,18,9,86,1,Some Random Commen with Id 73
74,19,1,22,8,Some Random Commen with Id 74
75,19,1,169,2,Some Random Commen with Id 75
76,19,1,54,2,Some Random Commen with Id 76
77,19,1,99,0,Some Random Commen with Id 77
78,19,1,162,2,Some Random Commen with Id 78
79,19,1,46,7,Some Random Commen with Id 79
80,19,1,76,5,Some Random Commen with Id 80
81,19,1,31,4,Some Random Commen with Id 81
82,19,1,199,2,Some Random Commen with Id 82
83,20,6,80,5,Some Random Commen with Id 83
84,20,6,171,5,Some Random Commen with Id 84
85,20,6,95,6,Some Random Commen with Id 85
86,20,6,11,0,Some Random Commen with Id 86
87,20,6,51,4,Some Random Commen with Id 87
88,20,6,162,7,Some Random Commen with Id 88
89,21,1,35,8,Some Random Commen with Id 89
90,21,1,162,3,Some Random Commen with Id 90
91,21,1,43,9,Some Random Commen with Id 91
92,21,1,186,2,Some Random Commen with Id 92
93,21,1,155,4,Some Random Commen with Id 93
94,21,1,96,3,Some Random Commen with Id 94
95,21,1,102,7,Some Random Commen with Id 95
96,21,1,40,7,Some Random Commen with Id 96
97,21,1,172,3,Some Random Commen with Id 97
98,22,1,76,4,Some Random Commen with Id 98
99,22,1,23,6,Some Random Commen with Id 99
100,22,1,128,1,Some Random Commen with Id 100
101,22,1,32,3,Some Random Commen with Id 101
102,22,1,42,7,Some Random Commen with Id 102
103,22,1,72,8,Some Random Commen with Id 103
104,22,1,53,9,Some Random Commen with Id 104
105,22,1,117,6,Some Random Commen with Id 105
106,23,8,18,3,Some Random Commen with Id 106
107,23,8,169,4,Some Random Commen with Id 107
108,23,8,70,6,Some Random Commen with Id 108
109,23,8,16,8,Some Random Commen with Id 109
110,23,8,146,6,Some Random Commen with Id 110
111,24,4,144,8,Some Random Commen with Id 111
112,24,4,50,1,Some Random Commen with Id 112
113,24,4,129,2,Some Random Commen with Id 113
114,24,4,63,1,Some Random Commen with Id 114
115,24,4,191,3,Some Random Commen with Id 115
116,26,3,57,7,Some Random Commen with Id 116
117,28,4,199,3,Some Random Commen with Id 117
118,28,4,131,8,Some Random Commen with Id 118
119,28,4,168,0,Some Random Commen with Id 119
120,28,4,115,4,Some Random Commen with Id 120
121,28,4,2,9,Some Random Commen with Id 121
122,28,4,157,2,Some Random Commen with Id 122
123,28,4,7,2,Some Random Commen with Id 123
124,29,2,194,4,Some Random Commen with Id 124
125,29,2,172,0,Some Random Commen with Id 125
126,29,2,29,6,Some Random Commen with Id 126
127,29,2,17,5,Some Random Commen with Id 127
128,29,2,73,6,Some Random Commen with Id 128
129,29,2,36,2,Some Random Commen with Id 129
130,29,2,148,4,Some Random Commen with Id 130
131,30,2,173,9,Some Random Commen with Id 131
132,30,2,196,1,Some Random Commen with Id 132
133,30,2,131,5,Some Random Commen with Id 133
134,31,2,27,4,Some Random Commen with Id 134
135,31,2,157,6,Some Random Commen with Id 135
136,31,2,24,3,Some Random Commen with Id 136
137,31,2,62,7,Some Random Commen with Id 137
138,31,2,181,2,Some Random Commen with Id 138
139,31,2,187,8,Some Random Commen with Id 139
140,31,2,6,0,Some Random Commen with Id 140
141,31,2,15,8,Some Random Commen with Id 141
142,32,1,122,7,Some Random Commen with Id 142
143,32,1,152,5,Some Random Commen with Id 143
144,32,1,99,7,Some Random Commen with Id 144
145,32,1,167,8,Some Random Commen with Id 145
146,32,1,169,9,Some Random Commen with Id 146
147,32,1,19,2,Some Random Commen with Id 147
148,33,1,122,2,Some Random Commen with Id 148
149,33,1,170,0,Some Random Commen with Id 149
150,33,1,120,9,Some Random Commen with Id 150
151,33,1,116,5,Some Random Commen with Id 151
152,34,1,151,8,Some Random Commen with Id 152
153,34,1,183,6,Some Random Commen with Id 153
154,34,1,24,8,Some Random Commen with Id 154
155,34,1,152,3,Some Random Commen with Id 155
156,34,1,30,2,Some Random Commen with Id 156
157,34,1,28,6,Some Random Commen with Id 157
